rows,cols,implementation,scope,sample,order_slot,elapsed_ms,seed
1024,257,torch_softmax,resident_cuda_event_per_call,10,0,0.00599008023739,20260829
1024,257,kernel_lab_custom,resident_cuda_event_per_call,10,1,0.00685216009617,20260829
1024,257,kernel_lab_custom,resident_cuda_event_per_call,11,0,0.00681631982327,20260829
1024,257,torch_softmax,resident_cuda_event_per_call,11,1,0.0062377601862,20260829
1024,257,torch_softmax,resident_cuda_event_per_call,12,0,0.0060912001133,20260829
1024,257,kernel_lab_custom,resident_cuda_event_per_call,12,1,0.00685855984688,20260829
1024,257,kernel_lab_custom,resident_cuda_event_per_call,13,0,0.00736959993839,20260829
1024,257,torch_softmax,resident_cuda_event_per_call,13,1,0.00619167983532,20260829
1024,257,torch_softmax,resident_cuda_event_per_call,14,0,0.006057279706,20260829
1024,257,kernel_lab_custom,resident_cuda_event_per_call,14,1,0.00699072003365,20260829
1024,257,kernel_lab_custom,resident_cuda_event_per_call,15,0,0.00686143994331,20260829
1024,257,torch_softmax,resident_cuda_event_per_call,15,1,0.00603488028049,20260829
1024,257,torch_softmax,resident_cuda_event_per_call,16,0,0.00607967972755,20260829
1024,257,kernel_lab_custom,resident_cuda_event_per_call,16,1,0.00690208017826,20260829
1024,257,kernel_lab_custom,resident_cuda_event_per_call,17,0,0.00681792020798,20260829
1024,257,torch_softmax,resident_cuda_event_per_call,17,1,0.00612576007843,20260829
1024,257,torch_softmax,resident_cuda_event_per_call,18,0,0.00599744021893,20260829
1024,257,kernel_lab_custom,resident_cuda_event_per_call,18,1,0.0068348801136,20260829
1024,257,kernel_lab_custom,resident_cuda_event_per_call,19,0,0.00679520010948,20260829
1024,257,torch_softmax,resident_cuda_event_per_call,19,1,0.00612223982811,20260829
1024,257,torch_softmax,resident_cuda_event_per_call,20,0,0.00595423996449,20260829
1024,257,kernel_lab_custom,resident_cuda_event_per_call,20,1,0.00694368004799,20260829
1024,257,torch_softmax,cpu_to_cuda_to_cpu_wall,0,0,0.790445134044,20260829
1024,257,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,0,1,0.915955752134,20260829
1024,257,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,1,0,0.397469848394,20260829
1024,257,torch_softmax,cpu_to_cuda_to_cpu_wall,1,1,0.391524285078,20260829
1024,257,torch_softmax,cpu_to_cuda_to_cpu_wall,2,0,0.853484496474,20260829
1024,257,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,2,1,0.377427786589,20260829
1024,257,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,3,0,0.442756339908,20260829
1024,257,torch_softmax,cpu_to_cuda_to_cpu_wall,3,1,0.421775504947,20260829
1024,257,torch_softmax,cpu_to_cuda_to_cpu_wall,4,0,0.342750921845,20260829
1024,257,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,4,1,0.400315970182,20260829
1024,257,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,5,0,0.417608767748,20260829
1024,257,torch_softmax,cpu_to_cuda_to_cpu_wall,5,1,0.406838953495,20260829
1024,257,torch_softmax,cpu_to_cuda_to_cpu_wall,6,0,0.354314222932,20260829
1024,257,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,6,1,0.416358932853,20260829
1024,257,kernel_lab_custom,cpu_to_cuda_to_cpu_wall,7,0,0.428499653935,20260829
1024,257,torch_softmax,cpu_to_cuda_to_cpu_wall,7,1,0.412218272686,20260829
